requirement_id,parent_id,requirement,authoritative_source,source_ref,implementation_paths,test_paths,verification_command,proof_artifacts,proof_head_sha,evidence_status,task_status,notes
CDB013,CDB013,Create Rust workspace skeleton and make cargo metadata succeed,execution/TASK_GRAPH.csv,CDB013,Cargo.toml;crates/codedb/Cargo.toml;crates/codedb_build_capture/Cargo.toml;crates/codedb_cargo/Cargo.toml;crates/codedb_context/Cargo.toml;crates/codedb_core/Cargo.toml;crates/codedb_fixtures/Cargo.toml;crates/codedb_mcp/Cargo.toml;crates/codedb_rust_static/Cargo.toml;crates/codedb_store_pg/Cargo.toml;crates/codedb_store_redb/Cargo.toml;crates/nu_plugin_codedb/Cargo.toml,tests/test_workspace_manifest.py,python3 -m unittest tests.test_workspace_manifest && cargo metadata --format-version 1 --no-deps,stdout:cdb013-stdout;stderr:cdb013-stderr;file:cdb013-workspace-manifest:repository:Cargo.toml,,verified,complete,Three direct workspace mutation/contract tests and cargo metadata prove the exact eleven-member workspace.
CDB014,CDB014,Implement codedb-core schemas and pass unit tests,execution/TASK_GRAPH.csv,CDB014,crates/codedb_core/**,crates/codedb_core/**,cargo test -p codedb-core,stdout:cdb014-stdout;stderr:cdb014-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB015,CDB015,Implement redb store initialization and metadata,execution/TASK_GRAPH.csv,CDB015,crates/codedb_store_redb/**,crates/codedb_store_redb/**,cargo test -p codedb-store-redb,stdout:cdb015-stdout;stderr:cdb015-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB016,CDB016,Implement redb schema version locks backup and restore,execution/TASK_GRAPH.csv,CDB016,crates/codedb_store_redb/**,crates/codedb_store_redb/**,cargo test -p codedb-store-redb,stdout:cdb016-stdout;stderr:cdb016-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB017,CDB017,Implement deterministic filesystem scanner rows,execution/TASK_GRAPH.csv,CDB017,crates/codedb_core/**,crates/codedb_core/**,cargo test -p codedb-core,stdout:cdb017-stdout;stderr:cdb017-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB018,CDB018,Implement exact source metadata and blob policy with secret safety,execution/TASK_GRAPH.csv,CDB018,crates/codedb_core/**,crates/codedb_core/**,cargo test -p codedb-core,stdout:cdb018-stdout;stderr:cdb018-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB019,CDB019,Implement Cargo metadata capture,execution/TASK_GRAPH.csv,CDB019,crates/codedb_cargo/**,crates/codedb_cargo/**,cargo test -p codedb-cargo,stdout:cdb019-stdout;stderr:cdb019-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB020,CDB020,Implement Cargo registry git and path source provenance,execution/TASK_GRAPH.csv,CDB020,crates/codedb_cargo/**,crates/codedb_cargo/**,cargo test -p codedb-cargo,stdout:cdb020-stdout;stderr:cdb020-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB021,CDB021,Implement deterministic cfg feature target and toolchain context,execution/TASK_GRAPH.csv,CDB021,crates/codedb_cargo/**;crates/codedb_core/**,crates/codedb_cargo/**,cargo test -p codedb-cargo -p codedb-core,stdout:cdb021-stdout;stderr:cdb021-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB022,CDB022,Implement static Rust item inventory,execution/TASK_GRAPH.csv,CDB022,crates/codedb_rust_static/**,crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb022-stdout;stderr:cdb022-stderr,,verified,complete,"Schema-4 detached proof executes the exact verification command and binds its typed evidence to the current FlexNetOS/nu_plugin commit, tree, ledger, and validator identities."
CDB023,CDB023,Implement macro_rules static inventory without semantic overclaim,execution/TASK_GRAPH.csv,CDB023,crates/codedb_rust_static/**;fixtures/macro_rules/**,crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb023-stdout;stderr:cdb023-stderr,,verified,complete,Static coverage is not compiler-observed completion
CDB024,CDB024,Implement proc-macro static detection and explicit unresolved facts,execution/TASK_GRAPH.csv,CDB024,crates/codedb_rust_static/**;fixtures/proc_macro/**,crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb024-stdout;stderr:cdb024-stderr,,verified,complete,Static coverage is not executed proc-macro proof
CDB025,CDB025,Implement build.rs static detection and explicit unresolved facts,execution/TASK_GRAPH.csv,CDB025,crates/codedb_rust_static/**;fixtures/build_script/**,crates/codedb_rust_static/**,cargo test -p codedb-rust-static,stdout:cdb025-stdout;stderr:cdb025-stderr,,verified,complete,Static coverage is not executed build-script proof
