task_id,must_read,may_update,must_update_on_change,validation_gate,raw_log_path,evidence_artifacts,source_of_truth_table,governing_docs,exact_read_paths,exact_update_paths,path_policy,task_graph_row
CDB000,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,CODEDB_START_HERE.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;NAVIGATION.md;NAVIGATION.json;DOC_GRAPH.md;READINESS_GATE.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;FIRST_RUN_PROMPT.md;CHECKLIST_COMPLETION.md;BACKLOG.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,all P0 docs listed,logs/CDB000-package-init.log,logs/CDB000-package-init.log;CODEDB_START_HERE.md,execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;nu_plugin_codedb_remaining_execution_checklist.md;execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,CODEDB_START_HERE.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;NAVIGATION.md;NAVIGATION.json;DOC_GRAPH.md;READINESS_GATE.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;FIRST_RUN_PROMPT.md;CHECKLIST_COMPLETION.md;BACKLOG.md;execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,current artifacts exact; planned implementation globs allowed only while task status is planned,CDB000
CDB001,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,NAVIGATION.md;NAVIGATION.json;DOC_GRAPH.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,links validate,logs/CDB001-navigation.log,logs/CDB001-navigation.log;NAVIGATION.md,execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;nu_plugin_codedb_remaining_execution_checklist.md;execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,NAVIGATION.md;NAVIGATION.json;DOC_GRAPH.md;execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,current artifacts exact; planned implementation globs allowed only while task status is planned,CDB001
CDB002,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,READINESS_GATE.md;STOP_CONDITIONS.md;DRIFT_GUARD.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,gate checklist covers task/prd/log/secret,logs/CDB002-gates.log,logs/CDB002-gates.log;READINESS_GATE.md,execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;nu_plugin_codedb_remaining_execution_checklist.md;execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,READINESS_GATE.md;STOP_CONDITIONS.md;DRIFT_GUARD.md;execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,current artifacts exact; planned implementation globs allowed only while task status is planned,CDB002
CDB003,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,execution/TASK_GRAPH.csv;execution/TASK_FILE_MAP.csv,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,CSV parses and task IDs unique,logs/CDB003-task-graph.log,logs/CDB003-task-graph.log;execution/TASK_GRAPH.csv,execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;nu_plugin_codedb_remaining_execution_checklist.md;execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,execution/TASK_GRAPH.csv;execution/TASK_FILE_MAP.csv;execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,current artifacts exact; planned implementation globs allowed only while task status is planned,CDB003
CDB004,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,CSV parses with expected header,logs/CDB004-ledger.log,logs/CDB004-ledger.log;execution/COMMAND_LEDGER.csv,execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;nu_plugin_codedb_remaining_execution_checklist.md;execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,current artifacts exact; planned implementation globs allowed only while task status is planned,CDB004
CDB005,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256;manifests/LINK_CHECK_REPORT.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,checksums match files and links pass,logs/CDB005-manifest.log,logs/CDB005-manifest.log;manifests/PACK_MANIFEST.json,execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;nu_plugin_codedb_remaining_execution_checklist.md;execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256;manifests/LINK_CHECK_REPORT.md;execution/COMMAND_LEDGER.csv;execution/WORKLOG.md,current artifacts exact; planned implementation globs allowed only while task status is planned,CDB005
CDB006,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,docs/ARCHITECTURE.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,covers crates/data flow/runtime modes,logs/CDB006-architecture.log,logs/CDB006-architecture.log;docs/ARCHITECTURE.md,execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;nu_plugin_codedb_remaining_execution_checklist.md;execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,docs/ARCHITECTURE.md;execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,current artifacts exact; planned implementation globs allowed only while task status is planned,CDB006
CDB007,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,docs/SCHEMA.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,table groups and IDs defined,logs/CDB007-schema.log,logs/CDB007-schema.log;docs/SCHEMA.md,execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;nu_plugin_codedb_remaining_execution_checklist.md;execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,docs/SCHEMA.md;execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,current artifacts exact; planned implementation globs allowed only while task status is planned,CDB007
CDB008,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,docs/COMMANDS.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,CLI/Nu/MCP commands documented,logs/CDB008-commands.log,logs/CDB008-commands.log;docs/COMMANDS.md,execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;nu_plugin_codedb_remaining_execution_checklist.md;execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,docs/COMMANDS.md;execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,current artifacts exact; planned implementation globs allowed only while task status is planned,CDB008
CDB009,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,docs/INTEGRATION_CONTRACTS.md,execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,Codex/Yazelix/meta/envctl/runner covered,logs/CDB009-integration.log,logs/CDB009-integration.log;docs/INTEGRATION_CONTRACTS.md,execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;nu_plugin_codedb_remaining_execution_checklist.md;execution/TASK_GRAPH.csv,CODEDB_START_HERE.md;READINESS_GATE.md;NAVIGATION.md;prd/nu_plugin_codedb_v1_1_full_prd.md;nu_plugin_codedb_execution_package_checklist.md;execution/TASK_GRAPH.csv;DOC_GRAPH.md;DRIFT_GUARD.md;STOP_CONDITIONS.md;GOAL.md;SUBGOALS.md;ACCEPTANCE.md;FIRST_RUN_PROMPT.md;nu_plugin_codedb_remaining_execution_checklist.md,docs/INTEGRATION_CONTRACTS.md;execution/COMMAND_LEDGER.csv;execution/WORKLOG.md;manifests/PACK_MANIFEST.json;manifests/CHECKSUMS.sha256,current artifacts exact; planned implementation globs allowed only while task status is planned,CDB009
